"CONTADOR","TORRE","HELICE","PE","I_GRAUS","L_m","NSPTponta","T_kNm"
4,"TORRE 200-1_D1SM",6,"B4",5,4,8,6.78
5,"TORRE 200-1_D1SM",6,"B4",5,5,8,7.32
6,"TORRE 200-1_D1SM",6,"B4",5,6,9,8
7,"TORRE 200-1_D1SM",6,"B4",5,7,8,8.54
8,"TORRE 200-1_D1SM",6,"B4",5,8,10,9.22
9,"TORRE 200-1_D1SM",6,"B4",5,9,10,9.63
10,"TORRE 200-1_D1SM",6,"B4",5,10,13,11.66
11,"TORRE 200-1_D1SM",6,"B4",5,11,14,12.34
12,"TORRE 200-1_D1SM",6,"B4",5,12,16,13.15
13,"TORRE 200-1_D1SM",6,"B4",5,13,15,13.69
14,"TORRE 200-1_D1SM",6,"B4",5,14,18,15.19
15,"TORRE 200-1_D1SM",6,"B4",5,14.67,19,0
1,"TORRE 200-1_D1SM",6,"B5",18,1,0,0
2,"TORRE 200-1_D1SM",6,"B5",18,2,4,5.15
3,"TORRE 200-1_D1SM",6,"B5",18,3,6,5.69
4,"TORRE 200-1_D1SM",6,"B5",18,4,8,6.51
5,"TORRE 200-1_D1SM",6,"B5",18,5,8,6.91
6,"TORRE 200-1_D1SM",6,"B5",18,6,9,7.73
7,"TORRE 200-1_D1SM",6,"B5",18,7,8,8.13
8,"TORRE 200-1_D1SM",6,"B5",18,8,10,8.68
9,"TORRE 200-1_D1SM",6,"B5",18,9,10,9.36
10,"TORRE 200-1_D1SM",6,"B5",18,10,13,9.76
11,"TORRE 200-1_D1SM",6,"B5",18,11,14,10.58
12,"TORRE 200-1_D1SM",6,"B5",18,12,16,10.98
13,"TORRE 200-1_D1SM",6,"B5",18,13,15,14.64
14,"TORRE 200-1_D1SM",6,"B5",18,14,18,13.56
15,"TORRE 200-1_D1SM",6,"B5",18,15,19,14.78
16,"TORRE 200-1_D1SM",6,"B5",18,15.25,19,0
1,"TORRE 200-1_D1SM",6,"B6",18,1,0,0
2,"TORRE 200-1_D1SM",6,"B6",18,2,4,5.02
3,"TORRE 200-1_D1SM",6,"B6",18,3,6,5.83
4,"TORRE 200-1_D1SM",6,"B6",18,4,8,7.05
5,"TORRE 200-1_D1SM",6,"B6",18,5,8,7.73
6,"TORRE 200-1_D1SM",6,"B6",18,6,9,8
7,"TORRE 200-1_D1SM",6,"B6",18,7,8,8.41
8,"TORRE 200-1_D1SM",6,"B6",18,8,10,9.08
9,"TORRE 200-1_D1SM",6,"B6",18,9,10,9.63
10,"TORRE 200-1_D1SM",6,"B6",18,10,13,10.58
11,"TORRE 200-1_D1SM",6,"B6",18,11,14,11.25
12,"TORRE 200-1_D1SM",6,"B6",18,12,16,11.93
13,"TORRE 200-1_D1SM",6,"B6",18,13,15,12.34
14,"TORRE 200-1_D1SM",6,"B6",18,14,18,13.02
15,"TORRE 200-1_D1SM",6,"B6",18,15,19,13.69
16,"TORRE 200-1_D1SM",6,"B6",18,16,22,14.91
17,"TORRE 200-1_D1SM",6,"B6",18,16.57,22,0
1,"TORRE 200-1_D1SM",6,"B7",0,1,0,0
2,"TORRE 200-1_D1SM",6,"B7",0,2,4,4.07
3,"TORRE 200-1_D1SM",6,"B7",0,3,6,4.34
4,"TORRE 200-1_D1SM",6,"B7",0,4,8,5.97
5,"TORRE 200-1_D1SM",6,"B7",0,5,8,6.51
6,"TORRE 200-1_D1SM",6,"B7",0,6,9,6.91
7,"TORRE 200-1_D1SM",6,"B7",0,7,8,7.73
8,"TORRE 200-1_D1SM",6,"B7",0,8,10,8.27
9,"TORRE 200-1_D1SM",6,"B7",0,9,10,8.68
10,"TORRE 200-1_D1SM",6,"B7",0,10,13,9.36
11,"TORRE 200-1_D1SM",6,"B7",0,11,14,10.58
12,"TORRE 200-1_D1SM",6,"B7",0,12,16,11.39
13,"TORRE 200-1_D1SM",6,"B7",0,13,15,12.34
14,"TORRE 200-1_D1SM",6,"B7",0,14,18,13.56
15,"TORRE 200-1_D1SM",6,"B7",0,15,19,14.91
16,"TORRE 200-1_D1SM",6,"B7",0,15.7,22,0
1,"TORRE 200-1_D1SM",6,"C1",5,1,0,0
2,"TORRE 200-1_D1SM",6,"C1",5,2,4,3.53
3,"TORRE 200-1_D1SM",6,"C1",5,3,6,5.69
4,"TORRE 200-1_D1SM",6,"C1",5,4,8,9.08
5,"TORRE 200-1_D1SM",6,"C1",5,5,8,8.13
6,"TORRE 200-1_D1SM",6,"C1",5,6,9,7.86
7,"TORRE 200-1_D1SM",6,"C1",5,7,8,8.81
8,"TORRE 200-1_D1SM",6,"C1",5,8,10,10.3
9,"TORRE 200-1_D1SM",6,"C1",5,9,10,11.12
10,"TORRE 200-1_D1SM",6,"C1",5,10,13,11.93
11,"TORRE 200-1_D1SM",6,"C1",5,11,14,13.15
12,"TORRE 200-1_D1SM",6,"C1",5,12,16,14.1
13,"TORRE 200-1_D1SM",6,"C1",5,13,15,14.64
14,"TORRE 200-1_D1SM",6,"C1",5,14,18,14.91
15,"TORRE 200-1_D1SM",6,"C1",5,14.08,19,15.86
1,"TORRE 200-1_D1SM",6,"C2",23,1,0,0
2,"TORRE 200-1_D1SM",6,"C2",23,2,4,2.44
3,"TORRE 200-1_D1SM",6,"C2",23,3,6,4.61
4,"TORRE 200-1_D1SM",6,"C2",23,4,8,7.59
5,"TORRE 200-1_D1SM",6,"C2",23,5,8,9.49
6,"TORRE 200-1_D1SM",6,"C2",23,6,9,11.66
7,"TORRE 200-1_D1SM",6,"C2",23,7,8,10.58
8,"TORRE 200-1_D1SM",6,"C2",23,8,10,10.03
9,"TORRE 200-1_D1SM",6,"C2",23,9,10,11.8
10,"TORRE 200-1_D1SM",6,"C2",23,10,13,11.66
11,"TORRE 200-1_D1SM",6,"C2",23,11,14,12.61
12,"TORRE 200-1_D1SM",6,"C2",23,12,16,13.15
13,"TORRE 200-1_D1SM",6,"C2",23,13,16,13.83
14,"TORRE 200-1_D1SM",6,"C2",23,14,15,14.37
15,"TORRE 200-1_D1SM",6,"C2",23,15,18,14.24
16,"TORRE 200-1_D1SM",6,"C2",23,16,19,14.78
17,"TORRE 200-1_D1SM",6,"C2",23,16.02,19,0
1,"TORRE 200-1_D1SM",6,"C3",23,1,0,0
2,"TORRE 200-1_D1SM",6,"C3",23,2,4,2.71
3,"TORRE 200-1_D1SM",6,"C3",23,3,6,4.75
4,"TORRE 200-1_D1SM",6,"C3",23,4,8,8
5,"TORRE 200-1_D1SM",6,"C3",23,5,8,9.08
6,"TORRE 200-1_D1SM",6,"C3",23,6,9,12.07
7,"TORRE 200-1_D1SM",6,"C3",23,7,8,10.58
8,"TORRE 200-1_D1SM",6,"C3",23,8,10,9.08
9,"TORRE 200-1_D1SM",6,"C3",23,9,10,8.41
10,"TORRE 200-1_D1SM",6,"C3",23,10,13,10.71
11,"TORRE 200-1_D1SM",6,"C3",23,11,14,12.2
12,"TORRE 200-1_D1SM",6,"C3",23,12,16,13.29
13,"TORRE 200-1_D1SM",6,"C3",23,13,16,13.56
14,"TORRE 200-1_D1SM",6,"C3",23,14,15,14.1
15,"TORRE 200-1_D1SM",6,"C3",23,15,18,14.64
16,"TORRE 200-1_D1SM",6,"C3",23,15.59,19,15.19
1,"TORRE 200-1_D1SM",6,"C4",5,1,0,0
2,"TORRE 200-1_D1SM",6,"C4",5,2,4,2.58
3,"TORRE 200-1_D1SM",6,"C4",5,3,6,4.34
4,"TORRE 200-1_D1SM",6,"C4",5,4,8,7.86
5,"TORRE 200-1_D1SM",6,"C4",5,5,8,10.71
6,"TORRE 200-1_D1SM",6,"C4",5,6,9,11.39
7,"TORRE 200-1_D1SM",6,"C4",5,7,8,11.93
8,"TORRE 200-1_D1SM",6,"C4",5,8,10,11.52
9,"TORRE 200-1_D1SM",6,"C4",5,9,10,12.47
10,"TORRE 200-1_D1SM",6,"C4",5,10,13,13.29
11,"TORRE 200-1_D1SM",6,"C4",5,11,14,13.56
12,"TORRE 200-1_D1SM",6,"C4",5,12,16,14.24
13,"TORRE 200-1_D1SM",6,"C4",5,13,15,15.05
14,"TORRE 200-1_D1SM",6,"C4",5,13.26,18,15.59
1,"TORRE 200-1_D1SM",6,"C5",18,1,0,0
2,"TORRE 200-1_D1SM",6,"C5",18,2,4,2.98
3,"TORRE 200-1_D1SM",6,"C5",18,3,6,4.47
4,"TORRE 200-1_D1SM",6,"C5",18,4,8,7.73
5,"TORRE 200-1_D1SM",6,"C5",18,5,8,9.49
6,"TORRE 200-1_D1SM",6,"C5",18,6,9,9.22
7,"TORRE 200-1_D1SM",6,"C5",18,7,8,8.13
8,"TORRE 200-1_D1SM",6,"C5",18,8,10,11.66
9,"TORRE 200-1_D1SM",6,"C5",18,9,10,12.61
10,"TORRE 200-1_D1SM",6,"C5",18,10,13,13.02
11,"TORRE 200-1_D1SM",6,"C5",18,11,14,13.96
12,"TORRE 200-1_D1SM",6,"C5",18,12,16,14.51
13,"TORRE 200-1_D1SM",6,"C5",18,13,15,14.91
14,"TORRE 200-1_D1SM",6,"C5",18,13.73,18,15.46
1,"TORRE 200-1_D1SM",6,"C6",18,1,0,0
2,"TORRE 200-1_D1SM",6,"C6",18,2,4,4.07
3,"TORRE 200-1_D1SM",6,"C6",18,3,6,6.1
4,"TORRE 200-1_D1SM",6,"C6",18,4,8,8.41
5,"TORRE 200-1_D1SM",6,"C6",18,5,8,10.85
6,"TORRE 200-1_D1SM",6,"C6",18,6,9,10.03
7,"TORRE 200-1_D1SM",6,"C6",18,7,8,10.58
8,"TORRE 200-1_D1SM",6,"C6",18,8,10,11.8
9,"TORRE 200-1_D1SM",6,"C6",18,9,10,12.74
10,"TORRE 200-1_D1SM",6,"C6",18,10,13,13.42
11,"TORRE 200-1_D1SM",6,"C6",18,11,14,13.83
12,"TORRE 200-1_D1SM",6,"C6",18,12,16,14.64
13,"TORRE 200-1_D1SM",6,"C6",18,13,15,13.96
14,"TORRE 200-1_D1SM",6,"C6",18,13.36,15,16
1,"TORRE 200-1_D1SM",6,"C7",0,1,0,0
2,"TORRE 200-1_D1SM",6,"C7",0,2,4,3.8
3,"TORRE 200-1_D1SM",6,"C7",0,3,6,6.37
4,"TORRE 200-1_D1SM",6,"C7",0,4,8,8.68
5,"TORRE 200-1_D1SM",6,"C7",0,5,8,11.25
6,"TORRE 200-1_D1SM",6,"C7",0,6,9,10.58
7,"TORRE 200-1_D1SM",6,"C7",0,7,8,8.41
8,"TORRE 200-1_D1SM",6,"C7",0,8,10,9.08
9,"TORRE 200-1_D1SM",6,"C7",0,9,10,10.44
10,"TORRE 200-1_D1SM",6,"C7",0,10,13,11.39
11,"TORRE 200-1_D1SM",6,"C7",0,11,14,12.47
12,"TORRE 200-1_D1SM",6,"C7",0,12,16,13.02
13,"TORRE 200-1_D1SM",6,"C7",0,13,15,13.56
14,"TORRE 200-1_D1SM",6,"C7",0,14,18,14.1
15,"TORRE 200-1_D1SM",6,"C7",0,15,19,14.64
16,"TORRE 200-1_D1SM",6,"C7",0,15.17,22,15.32
1,"TORRE 200-1_D1SM",6,"D1",5,1,0,0
2,"TORRE 200-1_D1SM",6,"D1",5,2,4,3.25
3,"TORRE 200-1_D1SM",6,"D1",5,3,6,4.75
4,"TORRE 200-1_D1SM",6,"D1",5,4,8,7.86
5,"TORRE 200-1_D1SM",6,"D1",5,5,8,9.22
6,"TORRE 200-1_D1SM",6,"D1",5,6,9,11.8
7,"TORRE 200-1_D1SM",6,"D1",5,7,8,12.74
8,"TORRE 200-1_D1SM",6,"D1",5,8,10,12.07
9,"TORRE 200-1_D1SM",6,"D1",5,9,10,13.15
10,"TORRE 200-1_D1SM",6,"D1",5,10,13,13.83
11,"TORRE 200-1_D1SM",6,"D1",5,11,14,14.37
12,"TORRE 200-1_D1SM",6,"D1",5,12,16,15.46
13,"TORRE 200-1_D1SM",6,"D1",5,12.95,15,16.13
1,"TORRE 200-1_D1SM",6,"D2",23,1,0,0
2,"TORRE 200-1_D1SM",6,"D2",23,2,4,2.85
3,"TORRE 200-1_D1SM",6,"D2",23,3,6,4.88
4,"TORRE 200-1_D1SM",6,"D2",23,4,8,7.32
5,"TORRE 200-1_D1SM",6,"D2",23,5,8,9.36
6,"TORRE 200-1_D1SM",6,"D2",23,6,9,11.12
7,"TORRE 200-1_D1SM",6,"D2",23,7,8,10.44
8,"TORRE 200-1_D1SM",6,"D2",23,8,10,9.76
9,"TORRE 200-1_D1SM",6,"D2",23,9,10,10.17
10,"TORRE 200-1_D1SM",6,"D2",23,10,13,11.39
11,"TORRE 200-1_D1SM",6,"D2",23,11,14,12.07
12,"TORRE 200-1_D1SM",6,"D2",23,12,16,13.15
13,"TORRE 200-1_D1SM",6,"D2",23,13,16,13.96
14,"TORRE 200-1_D1SM",6,"D2",23,14,15,14.37
15,"TORRE 200-1_D1SM",6,"D2",23,15,18,15.19
16,"TORRE 200-1_D1SM",6,"D2",23,15.45,19,16.13
1,"TORRE 200-1_D1SM",6,"D3",23,1,0,0
2,"TORRE 200-1_D1SM",6,"D3",23,2,4,3.12
3,"TORRE 200-1_D1SM",6,"D3",23,3,6,5.15
4,"TORRE 200-1_D1SM",6,"D3",23,4,8,7.73
5,"TORRE 200-1_D1SM",6,"D3",23,5,8,9.76
6,"TORRE 200-1_D1SM",6,"D3",23,6,9,12.34
7,"TORRE 200-1_D1SM",6,"D3",23,7,8,11.39
8,"TORRE 200-1_D1SM",6,"D3",23,8,10,10.85
9,"TORRE 200-1_D1SM",6,"D3",23,9,10,11.8
10,"TORRE 200-1_D1SM",6,"D3",23,10,13,12.74
11,"TORRE 200-1_D1SM",6,"D3",23,11,14,13.29
12,"TORRE 200-1_D1SM",6,"D3",23,12,16,14.1
13,"TORRE 200-1_D1SM",6,"D3",23,13,16,14.64
14,"TORRE 200-1_D1SM",6,"D3",23,13.39,15,15.46
1,"TORRE 200-1_D1SM",6,"D4",5,1,0,0
2,"TORRE 200-1_D1SM",6,"D4",5,2,4,3.25
3,"TORRE 200-1_D1SM",6,"D4",5,3,6,5.02
4,"TORRE 200-1_D1SM",6,"D4",5,4,8,7.59
5,"TORRE 200-1_D1SM",6,"D4",5,5,8,10.17
6,"TORRE 200-1_D1SM",6,"D4",5,6,9,11.39
7,"TORRE 200-1_D1SM",6,"D4",5,7,8,10.58
8,"TORRE 200-1_D1SM",6,"D4",5,8,10,9.9
9,"TORRE 200-1_D1SM",6,"D4",5,9,10,10.98
10,"TORRE 200-1_D1SM",6,"D4",5,10,13,11.8
11,"TORRE 200-1_D1SM",6,"D4",5,11,14,11.66
12,"TORRE 200-1_D1SM",6,"D4",5,12,16,12.61
13,"TORRE 200-1_D1SM",6,"D4",5,13,15,13.15
14,"TORRE 200-1_D1SM",6,"D4",5,14,18,14.1
15,"TORRE 200-1_D1SM",6,"D4",5,15,19,14.78
16,"TORRE 200-1_D1SM",6,"D4",5,15.81,22,15.19
1,"TORRE 200-1_D1SM",6,"D5",18,1,0,0
2,"TORRE 200-1_D1SM",6,"D5",18,2,4,3.66
3,"TORRE 200-1_D1SM",6,"D5",18,3,6,5.29
4,"TORRE 200-1_D1SM",6,"D5",18,4,8,7.46
5,"TORRE 200-1_D1SM",6,"D5",18,5,8,10.71
6,"TORRE 200-1_D1SM",6,"D5",18,6,9,11.66
7,"TORRE 200-1_D1SM",6,"D5",18,7,8,10.58
8,"TORRE 200-1_D1SM",6,"D5",18,8,10,11.12
9,"TORRE 200-1_D1SM",6,"D5",18,9,10,11.52
10,"TORRE 200-1_D1SM",6,"D5",18,10,13,13.15
11,"TORRE 200-1_D1SM",6,"D5",18,11,14,12.74
12,"TORRE 200-1_D1SM",6,"D5",18,12,16,13.29
13,"TORRE 200-1_D1SM",6,"D5",18,13,15,13.56
14,"TORRE 200-1_D1SM",6,"D5",18,14,18,14.24
15,"TORRE 200-1_D1SM",6,"D5",18,15,19,14.91
16,"TORRE 200-1_D1SM",6,"D5",18,15.72,19,15.86
1,"TORRE 200-1_D1SM",6,"D6",18,1,0,0
2,"TORRE 200-1_D1SM",6,"D6",18,2,4,3.39
3,"TORRE 200-1_D1SM",6,"D6",18,3,6,5.42
4,"TORRE 200-1_D1SM",6,"D6",18,4,8,8
5,"TORRE 200-1_D1SM",6,"D6",18,5,8,10.3
6,"TORRE 200-1_D1SM",6,"D6",18,6,9,11.12
7,"TORRE 200-1_D1SM",6,"D6",18,7,8,10.58
8,"TORRE 200-1_D1SM",6,"D6",18,8,10,10.17
9,"TORRE 200-1_D1SM",6,"D6",18,9,10,11.93
10,"TORRE 200-1_D1SM",6,"D6",18,10,13,13.02
11,"TORRE 200-1_D1SM",6,"D6",18,11,14,13.83
12,"TORRE 200-1_D1SM",6,"D6",18,12,16,14.37
13,"TORRE 200-1_D1SM",6,"D6",18,13,15,14.78
14,"TORRE 200-1_D1SM",6,"D6",18,13.32,15,15.73
1,"TORRE 200-1_D1SM",6,"D7",0,1,0,0
2,"TORRE 200-1_D1SM",6,"D7",0,2,4,3.53
3,"TORRE 200-1_D1SM",6,"D7",0,3,6,5.56
4,"TORRE 200-1_D1SM",6,"D7",0,4,8,7.73
5,"TORRE 200-1_D1SM",6,"D7",0,5,8,10.58
6,"TORRE 200-1_D1SM",6,"D7",0,6,9,11.39
7,"TORRE 200-1_D1SM",6,"D7",0,7,8,10.3
8,"TORRE 200-1_D1SM",6,"D7",0,8,10,10.03
9,"TORRE 200-1_D1SM",6,"D7",0,9,10,11.52
10,"TORRE 200-1_D1SM",6,"D7",0,10,13,12.07
11,"TORRE 200-1_D1SM",6,"D7",0,11,14,12.47
12,"TORRE 200-1_D1SM",6,"D7",0,12,16,13.02
13,"TORRE 200-1_D1SM",6,"D7",0,13,15,13.69
14,"TORRE 200-1_D1SM",6,"D7",0,14,18,14.51
15,"TORRE 200-1_D1SM",6,"D7",0,15,19,15.19
16,"TORRE 200-1_D1SM",6,"D7",0,15.13,22,16
1,"TORRE 201-2_D1SE",6,"A1",5,1,0,0
2,"TORRE 201-2_D1SE",6,"A1",5,2,4,7.19
3,"TORRE 201-2_D1SE",6,"A1",5,3,4,9.76
4,"TORRE 201-2_D1SE",6,"A1",5,4,6,6.24
5,"TORRE 201-2_D1SE",6,"A1",5,5,8,5.15
6,"TORRE 201-2_D1SE",6,"A1",5,6,9,6.51
7,"TORRE 201-2_D1SE",6,"A1",5,7,9,10.3
8,"TORRE 201-2_D1SE",6,"A1",5,8,12,11.8
9,"TORRE 201-2_D1SE",6,"A1",5,9,15,12.2
10,"TORRE 201-2_D1SE",6,"A1",5,10,15,10.3
11,"TORRE 201-2_D1SE",6,"A1",5,11,13,10.44
12,"TORRE 201-2_D1SE",6,"A1",5,12,9,12.07
13,"TORRE 201-2_D1SE",6,"A1",5,13,12,13.56
14,"TORRE 201-2_D1SE",6,"A1",5,14,12,13.69
15,"TORRE 201-2_D1SE",6,"A1",5,15,15,14.64
16,"TORRE 201-2_D1SE",6,"A1",5,15.98,14,15.86
1,"TORRE 201-2_D1SE",6,"A2",23,1,0,0
2,"TORRE 201-2_D1SE",6,"A2",23,2,4,4.88
3,"TORRE 201-2_D1SE",6,"A2",23,3,4,5.15
4,"TORRE 201-2_D1SE",6,"A2",23,4,6,5.56
5,"TORRE 201-2_D1SE",6,"A2",23,5,8,6.24
6,"TORRE 201-2_D1SE",6,"A2",23,6,9,6.91
7,"TORRE 201-2_D1SE",6,"A2",23,7,9,10.98
8,"TORRE 201-2_D1SE",6,"A2",23,8,12,10.44
9,"TORRE 201-2_D1SE",6,"A2",23,9,15,8.41
10,"TORRE 201-2_D1SE",6,"A2",23,10,15,7.46
11,"TORRE 201-2_D1SE",6,"A2",23,11,13,5.97
12,"TORRE 201-2_D1SE",6,"A2",23,12,9,5.29
13,"TORRE 201-2_D1SE",6,"A2",23,13,9,6.24
14,"TORRE 201-2_D1SE",6,"A2",23,14,12,7.59
15,"TORRE 201-2_D1SE",6,"A2",23,15,12,10.44
16,"TORRE 201-2_D1SE",6,"A2",23,16,15,11.12
17,"TORRE 201-2_D1SE",6,"A2",23,17,14,14.37
18,"TORRE 201-2_D1SE",6,"A2",23,18,18,14.64
19,"TORRE 201-2_D1SE",6,"A2",23,18.28,18,16.13
1,"TORRE 201-2_D1SE",6,"A3",23,1,0,0
2,"TORRE 201-2_D1SE",6,"A3",23,2,4,7.59
3,"TORRE 201-2_D1SE",6,"A3",23,3,4,7.86
4,"TORRE 201-2_D1SE",6,"A3",23,4,6,6.51
5,"TORRE 201-2_D1SE",6,"A3",23,5,8,7.05
6,"TORRE 201-2_D1SE",6,"A3",23,6,9,8.54
7,"TORRE 201-2_D1SE",6,"A3",23,7,9,10.58
8,"TORRE 201-2_D1SE",6,"A3",23,8,12,10.71
9,"TORRE 201-2_D1SE",6,"A3",23,9,15,8.41
10,"TORRE 201-2_D1SE",6,"A3",23,10,15,6.24
11,"TORRE 201-2_D1SE",6,"A3",23,11,13,5.69
12,"TORRE 201-2_D1SE",6,"A3",23,12,9,7.59
13,"TORRE 201-2_D1SE",6,"A3",23,13,9,9.08
14,"TORRE 201-2_D1SE",6,"A3",23,14,12,11.93
15,"TORRE 201-2_D1SE",6,"A3",23,15,12,11.8
16,"TORRE 201-2_D1SE",6,"A3",23,16,15,11.93
17,"TORRE 201-2_D1SE",6,"A3",23,17,14,12.74
18,"TORRE 201-2_D1SE",6,"A3",23,18,18,13.56
1,"TORRE 201-2_D1SE",6,"A4",5,1,0,0
2,"TORRE 201-2_D1SE",6,"A4",5,2,4,7.86
3,"TORRE 201-2_D1SE",6,"A4",5,3,4,8.13
4,"TORRE 201-2_D1SE",6,"A4",5,4,6,10.58
5,"TORRE 201-2_D1SE",6,"A4",5,5,8,11.66
6,"TORRE 201-2_D1SE",6,"A4",5,6,9,10.03
7,"TORRE 201-2_D1SE",6,"A4",5,7,9,9.63
8,"TORRE 201-2_D1SE",6,"A4",5,8,12,8
9,"TORRE 201-2_D1SE",6,"A4",5,9,15,9.08
10,"TORRE 201-2_D1SE",6,"A4",5,10,15,6.91
11,"TORRE 201-2_D1SE",6,"A4",5,11,13,6.64
12,"TORRE 201-2_D1SE",6,"A4",5,12,9,12.34
13,"TORRE 201-2_D1SE",6,"A4",5,13,12,13.29
14,"TORRE 201-2_D1SE",6,"A4",5,14,12,11.12
15,"TORRE 201-2_D1SE",6,"A4",5,15,15,13.56
16,"TORRE 201-2_D1SE",6,"A4",5,16,14,13.83
17,"TORRE 201-2_D1SE",6,"A4",5,17,18,14.24
1,"TORRE 201-2_D1SE",6,"A5",5,1,0,0
2,"TORRE 201-2_D1SE",6,"A5",5,2,4,8.41
3,"TORRE 201-2_D1SE",6,"A5",5,3,4,8.81
4,"TORRE 201-2_D1SE",6,"A5",5,4,6,5.29
5,"TORRE 201-2_D1SE",6,"A5",5,5,8,5.56
6,"TORRE 201-2_D1SE",6,"A5",5,6,9,5.69
7,"TORRE 201-2_D1SE",6,"A5",5,7,9,7.86
8,"TORRE 201-2_D1SE",6,"A5",5,8,12,8.81
9,"TORRE 201-2_D1SE",6,"A5",5,9,15,10.17
10,"TORRE 201-2_D1SE",6,"A5",5,10,15,10.98
11,"TORRE 201-2_D1SE",6,"A5",5,11,13,13.02
12,"TORRE 201-2_D1SE",6,"A5",5,12,9,13.42
13,"TORRE 201-2_D1SE",6,"A5",5,13,12,13.56
14,"TORRE 201-2_D1SE",6,"A5",5,14,12,14.64
15,"TORRE 201-2_D1SE",6,"A5",5,14.54,15,15.73
1,"TORRE 201-2_D1SE",6,"A6",5,1,0,0
2,"TORRE 201-2_D1SE",6,"A6",5,2,4,7.19
3,"TORRE 201-2_D1SE",6,"A6",5,3,4,8.27
4,"TORRE 201-2_D1SE",6,"A6",5,4,6,6.51
5,"TORRE 201-2_D1SE",6,"A6",5,5,8,7.05
6,"TORRE 201-2_D1SE",6,"A6",5,6,9,5.83
7,"TORRE 201-2_D1SE",6,"A6",5,7,9,8.27
8,"TORRE 201-2_D1SE",6,"A6",5,8,12,10.44
9,"TORRE 201-2_D1SE",6,"A6",5,9,15,8.68
10,"TORRE 201-2_D1SE",6,"A6",5,10,15,9.76
11,"TORRE 201-2_D1SE",6,"A6",5,11,13,7.86
12,"TORRE 201-2_D1SE",6,"A6",5,12,9,10.71
13,"TORRE 201-2_D1SE",6,"A6",5,13,12,13.42
14,"TORRE 201-2_D1SE",6,"A6",5,14,12,13.56
15,"TORRE 201-2_D1SE",6,"A6",5,15,15,13.83
16,"TORRE 201-2_D1SE",6,"A6",5,15.53,14,13.96
1,"TORRE 201-2_D1SE",6,"A7",20,1,0,0
2,"TORRE 201-2_D1SE",6,"A7",20,2,4,3.8
3,"TORRE 201-2_D1SE",6,"A7",20,3,4,4.88
4,"TORRE 201-2_D1SE",6,"A7",20,4,6,9.76
5,"TORRE 201-2_D1SE",6,"A7",20,5,8,8.68
6,"TORRE 201-2_D1SE",6,"A7",20,6,9,8.41
7,"TORRE 201-2_D1SE",6,"A7",20,7,9,10.3
8,"TORRE 201-2_D1SE",6,"A7",20,8,12,6.51
9,"TORRE 201-2_D1SE",6,"A7",20,9,15,6.91
10,"TORRE 201-2_D1SE",6,"A7",20,10,15,5.83
11,"TORRE 201-2_D1SE",6,"A7",20,11,13,5.29
12,"TORRE 201-2_D1SE",6,"A7",20,12,9,5.69
13,"TORRE 201-2_D1SE",6,"A7",20,13,12,6.1
14,"TORRE 201-2_D1SE",6,"A7",20,14,12,10.58
15,"TORRE 201-2_D1SE",6,"A7",20,15,15,13.15
16,"TORRE 201-2_D1SE",6,"A7",20,16,14,13.56
17,"TORRE 201-2_D1SE",6,"A7",20,17,14,14.37
18,"TORRE 201-2_D1SE",6,"A7",20,17.83,18,15.59
1,"TORRE 201-2_D1SE",6,"A8",18,1,0,0
2,"TORRE 201-2_D1SE",6,"A8",18,2,4,5.69
3,"TORRE 201-2_D1SE",6,"A8",18,3,4,5.29
4,"TORRE 201-2_D1SE",6,"A8",18,4,6,7.59
5,"TORRE 201-2_D1SE",6,"A8",18,5,8,7.86
6,"TORRE 201-2_D1SE",6,"A8",18,6,9,10.71
7,"TORRE 201-2_D1SE",6,"A8",18,7,9,5.69
8,"TORRE 201-2_D1SE",6,"A8",18,8,12,5.15
9,"TORRE 201-2_D1SE",6,"A8",18,9,15,6.24
10,"TORRE 201-2_D1SE",6,"A8",18,10,15,7.19
11,"TORRE 201-2_D1SE",6,"A8",18,11,13,9.22
12,"TORRE 201-2_D1SE",6,"A8",18,12,9,9.63
13,"TORRE 201-2_D1SE",6,"A8",18,13,12,10.58
14,"TORRE 201-2_D1SE",6,"A8",18,14,12,12.07
15,"TORRE 201-2_D1SE",6,"A8",18,15,15,13.29
16,"TORRE 201-2_D1SE",6,"A8",18,16,14,13.56
17,"TORRE 201-2_D1SE",6,"A8",18,17,18,14.1
18,"TORRE 201-2_D1SE",6,"A8",18,17.39,18,14.64
1,"TORRE 201-2_D1SE",6,"A9",20,1,0,0
2,"TORRE 201-2_D1SE",6,"A9",20,2,4,4.34
3,"TORRE 201-2_D1SE",6,"A9",20,3,4,4.2
4,"TORRE 201-2_D1SE",6,"A9",20,4,6,3.93
5,"TORRE 201-2_D1SE",6,"A9",20,5,8,6.24
6,"TORRE 201-2_D1SE",6,"A9",20,6,9,7.05
7,"TORRE 201-2_D1SE",6,"A9",20,7,9,5.83
8,"TORRE 201-2_D1SE",6,"A9",20,8,12,9.22
9,"TORRE 201-2_D1SE",6,"A9",20,9,15,10.3
10,"TORRE 201-2_D1SE",6,"A9",20,10,15,6.24
11,"TORRE 201-2_D1SE",6,"A9",20,11,13,7.86
12,"TORRE 201-2_D1SE",6,"A9",20,12,9,7.59
13,"TORRE 201-2_D1SE",6,"A9",20,13,12,11.66
14,"TORRE 201-2_D1SE",6,"A9",20,14,12,12.61
